Category,Key Words,Description,See Also
_100,Free_1,Not yet allocated
_200,Components,Data sheets and component specific application notes
A301,aha,A specific variant of Forth including color forth and Enth
B301,Basic Language,Any code in this language
C301,CAD,Electrical circuit design
Z301,ZX81,Articles and programs for ZX80 and ZX81
_300,Computers,"Applications information, hardware and code "
A401,Amplifier Design,General topics
A402,Antennas,General theory
A403,All Pass Networks,Theory and design,P404
A404,ZX89,b l a h   b l a h
A405,ZX89,blah blah and blah
B401,Bipolar Circuits,Not sure this is a useful any more
B402,BCD Synthesis,A special direct synthesis idea from AIL Tech,S401,S402
B403,Basics,No idea what this is
V403,Varactors,Modelling
_400,Design,"Circuit and System design, excluding filters"
_500,Filters,All things to do with Filters
_600,Free_2,Not yet allocated
C701,Anlotech,Indirect (not a specific project) reference material relevant to client interests
_700,RSD,All things to do with Radio System Design
P801,Power Amplifiers,More substantive references rather than individual designs
_800,Publications,"Whole magazines, books or chapters/extracts from books"
A901,Topic,blah blah
A902,new3,all one paramter
_900,Various,Other specific topics as well as general interest 
